episode_key,step_id,label_episode_success,t_onset,online_failure_label,score,fold_threshold,fold_id,horizon,ablation,risk_group
open_drawer/condition_0000,0,0,22,0,0.5421115562624883,0.6411843910495859,1,5,A0_action_magnitude_proxy,failure_pre_window
open_drawer/condition_0000,1,0,22,0,0.543366780271059,0.6411843910495859,1,5,A0_action_magnitude_proxy,failure_pre_window
open_drawer/condition_0000,2,0,22,0,0.542557314406199,0.6411843910495859,1,5,A0_action_magnitude_proxy,failure_pre_window
open_drawer/condition_0000,3,0,22,0,0.5421115562624883,0.6411843910495859,1,5,A0_action_magnitude_proxy,failure_pre_window
open_drawer/condition_0000,4,0,22,0,0.4559497312515135,0.6411843910495859,1,5,A0_action_magnitude_proxy,failure_pre_window
open_drawer/condition_0000,5,0,22,0,0.4496489267924919,0.6411843910495859,1,5,A0_action_magnitude_proxy,failure_pre_window
open_drawer/condition_0000,6,0,22,0,0.44952225712460914,0.6411843910495859,1,5,A0_action_magnitude_proxy,failure_pre_window
open_drawer/condition_0000,7,0,22,0,0.44173305319324746,0.6411843910495859,1,5,A0_action_magnitude_proxy,failure_pre_window
open_drawer/condition_0000,8,0,22,0,0.4589517297116682,0.6411843910495859,1,5,A0_action_magnitude_proxy,failure_pre_window
open_drawer/condition_0000,9,0,22,0,0.4589517297116682,0.6411843910495859,1,5,A0_action_magnitude_proxy,failure_pre_window
open_drawer/condition_0000,10,0,22,0,0.4622029843826119,0.6411843910495859,1,5,A0_action_magnitude_proxy,failure_pre_window
open_drawer/condition_0000,11,0,22,0,0.4697275421741208,0.6411843910495859,1,5,A0_action_magnitude_proxy,failure_pre_window
open_drawer/condition_0000,12,0,22,0,0.4742824583436203,0.6411843910495859,1,5,A0_action_magnitude_proxy,failure_pre_window
open_drawer/condition_0000,13,0,22,0,0.5111615163044488,0.6411843910495859,1,5,A0_action_magnitude_proxy,failure_pre_window
open_drawer/condition_0000,14,0,22,0,0.5145663413914989,0.6411843910495859,1,5,A0_action_magnitude_proxy,failure_pre_window
open_drawer/condition_0000,15,0,22,0,0.5252080483289868,0.6411843910495859,1,5,A0_action_magnitude_proxy,failure_pre_window
open_drawer/condition_0000,16,0,22,0,0.5252080483289868,0.6411843910495859,1,5,A0_action_magnitude_proxy,failure_pre_window
open_drawer/condition_0000,17,0,22,1,0.5421115562624883,0.6411843910495859,1,5,A0_action_magnitude_proxy,failure_h_window
open_drawer/condition_0000,18,0,22,1,0.5545591667273042,0.6411843910495859,1,5,A0_action_magnitude_proxy,failure_h_window
open_drawer/condition_0000,19,0,22,1,0.5252883688520956,0.6411843910495859,1,5,A0_action_magnitude_proxy,failure_h_window
open_drawer/condition_0000,20,0,22,1,0.4580484214583769,0.6411843910495859,1,5,A0_action_magnitude_proxy,failure_h_window
