task,episode_key,condition_id,step_id,episode_success,num_steps,control_init_object_xy_radius,failure_mode_grasped_but_not_lifted,failure_mode_lifted_but_not_significantly_lifted,failure_mode_never_grasped,failure_mode_primary,failure_mode_significant_lift_but_not_success,gt_consecutive_grasp,gt_elapsed_steps,gt_first_grasp_step,gt_first_lift_step,gt_first_significant_lift_step,gt_first_success_step,gt_grasp_duration_steps,gt_grasp_streak,gt_is_grasped,gt_lift_duration_steps,gt_lift_streak,gt_lifted_object,gt_lifted_object_significantly,gt_object_init_x,gt_object_init_y,gt_object_init_z,gt_pick_phase,gt_pick_phase_change,gt_reward,gt_significant_lift_duration_steps,gt_success,gt_terminated,gt_time_since_first_grasp,gt_truncated,max_steps
pick_coke_can,pick_coke_can/condition_0000,0,0,False,80,0.7328570492399428,0,0,1,never_grasped,0,False,1,,,,,0,0,False,0,0,False,False,0.6991050243377686,0.2198445349931717,0.8405754566192627,0,0,0.0,0,False,False,,False,80
pick_coke_can,pick_coke_can/condition_0000,0,1,False,80,0.7328570492399428,0,0,1,never_grasped,0,False,2,,,,,0,0,False,0,0,False,False,0.6991050243377686,0.2198445349931717,0.8405754566192627,0,0,0.0,0,False,False,,False,80
pick_coke_can,pick_coke_can/condition_0000,0,2,False,80,0.7328570492399428,0,0,1,never_grasped,0,False,3,,,,,0,0,False,0,0,False,False,0.6991050243377686,0.2198445349931717,0.8405754566192627,0,0,0.0,0,False,False,,False,80
pick_coke_can,pick_coke_can/condition_0000,0,3,False,80,0.7328570492399428,0,0,1,never_grasped,0,False,4,,,,,0,0,False,0,0,False,False,0.6991050243377686,0.2198445349931717,0.8405754566192627,0,0,0.0,0,False,False,,False,80
pick_coke_can,pick_coke_can/condition_0000,0,4,False,80,0.7328570492399428,0,0,1,never_grasped,0,False,5,,,,,0,0,False,0,0,False,False,0.6991050243377686,0.2198445349931717,0.8405754566192627,0,0,0.0,0,False,False,,False,80
pick_coke_can,pick_coke_can/condition_0000,0,5,False,80,0.7328570492399428,0,0,1,never_grasped,0,False,6,,,,,0,0,False,0,0,False,False,0.6991050243377686,0.2198445349931717,0.8405754566192627,0,0,0.0,0,False,False,,False,80
pick_coke_can,pick_coke_can/condition_0000,0,6,False,80,0.7328570492399428,0,0,1,never_grasped,0,False,7,,,,,0,0,False,0,0,False,False,0.6991050243377686,0.2198445349931717,0.8405754566192627,0,0,0.0,0,False,False,,False,80
pick_coke_can,pick_coke_can/condition_0000,0,7,False,80,0.7328570492399428,0,0,1,never_grasped,0,False,8,,,,,0,0,False,0,0,False,False,0.6991050243377686,0.2198445349931717,0.8405754566192627,0,0,0.0,0,False,False,,False,80
pick_coke_can,pick_coke_can/condition_0000,0,8,False,80,0.7328570492399428,0,0,1,never_grasped,0,False,9,,,,,0,0,False,0,0,False,False,0.6991050243377686,0.2198445349931717,0.8405754566192627,0,0,0.0,0,False,False,,False,80
pick_coke_can,pick_coke_can/condition_0000,0,9,False,80,0.7328570492399428,0,0,1,never_grasped,0,False,10,,,,,0,0,False,0,0,False,False,0.6991050243377686,0.2198445349931717,0.8405754566192627,0,0,0.0,0,False,False,,False,80
pick_coke_can,pick_coke_can/condition_0000,0,10,False,80,0.7328570492399428,0,0,1,never_grasped,0,False,11,,,,,0,0,False,0,0,False,False,0.6991050243377686,0.2198445349931717,0.8405754566192627,0,0,0.0,0,False,False,,False,80
pick_coke_can,pick_coke_can/condition_0000,0,11,False,80,0.7328570492399428,0,0,1,never_grasped,0,False,12,,,,,0,0,False,0,0,False,False,0.6991050243377686,0.2198445349931717,0.8405754566192627,0,0,0.0,0,False,False,,False,80
pick_coke_can,pick_coke_can/condition_0000,0,12,False,80,0.7328570492399428,0,0,1,never_grasped,0,False,13,,,,,0,0,False,0,0,False,False,0.6991050243377686,0.2198445349931717,0.8405754566192627,0,0,0.0,0,False,False,,False,80
pick_coke_can,pick_coke_can/condition_0000,0,13,False,80,0.7328570492399428,0,0,1,never_grasped,0,False,14,,,,,0,0,False,0,0,False,False,0.6991050243377686,0.2198445349931717,0.8405754566192627,0,0,0.0,0,False,False,,False,80
