task,episode_key,condition_id,step_id,episode_success,num_steps,control_init_source_target_distance,control_init_source_target_dx,control_init_source_target_dy,control_init_source_target_dz,control_init_source_target_xy_distance,failure_mode_height_violation,failure_mode_no_correct_move,failure_mode_primary,failure_mode_transport_not_completed,gt_all_obj_keep_height,gt_correct_move_duration_steps,gt_correct_move_fraction,gt_correct_move_fraction_episode,gt_correct_move_streak,gt_elapsed_steps,gt_first_correct_move_step,gt_first_height_violation_step,gt_first_near_target_step,gt_first_success_step,gt_height_violation,gt_height_violation_streak,gt_is_closest_to_tgt,gt_move_phase,gt_move_phase_change,gt_moved_correct_obj,gt_moved_wrong_obj,gt_near_target_duration_steps,gt_near_tgt_obj,gt_reward,gt_source_init_x,gt_source_init_y,gt_source_init_z,gt_success,gt_target_init_x,gt_target_init_y,gt_target_init_z,gt_terminated,gt_time_since_first_correct_move,gt_truncated,max_steps
move_near,move_near/condition_0000,0,0,True,58,0.29604844002514835,0.024632632732391357,-0.2941364496946335,-0.022839903831481934,0.2951660848307145,0,0,success,0,True,5,0.0,0.08620689655172414,0,1,52,,57,57,0,0,False,0,0,False,False,1,False,0.0,0.6642991304397583,0.2257809340953827,0.8956101536750793,False,0.6889317631721497,-0.0683555155992508,0.8727702498435974,False,,False,80
move_near,move_near/condition_0000,0,1,True,58,0.29604844002514835,0.024632632732391357,-0.2941364496946335,-0.022839903831481934,0.2951660848307145,0,0,success,0,True,5,0.0,0.08620689655172414,0,2,52,,57,57,0,0,False,0,0,False,False,1,False,0.0,0.6642991304397583,0.2257809340953827,0.8956101536750793,False,0.6889317631721497,-0.0683555155992508,0.8727702498435974,False,,False,80
move_near,move_near/condition_0000,0,2,True,58,0.29604844002514835,0.024632632732391357,-0.2941364496946335,-0.022839903831481934,0.2951660848307145,0,0,success,0,True,5,0.0,0.08620689655172414,0,3,52,,57,57,0,0,False,0,0,False,False,1,False,0.0,0.6642991304397583,0.2257809340953827,0.8956101536750793,False,0.6889317631721497,-0.0683555155992508,0.8727702498435974,False,,False,80
move_near,move_near/condition_0000,0,3,True,58,0.29604844002514835,0.024632632732391357,-0.2941364496946335,-0.022839903831481934,0.2951660848307145,0,0,success,0,True,5,0.0,0.08620689655172414,0,4,52,,57,57,0,0,False,0,0,False,False,1,False,0.0,0.6642991304397583,0.2257809340953827,0.8956101536750793,False,0.6889317631721497,-0.0683555155992508,0.8727702498435974,False,,False,80
move_near,move_near/condition_0000,0,4,True,58,0.29604844002514835,0.024632632732391357,-0.2941364496946335,-0.022839903831481934,0.2951660848307145,0,0,success,0,True,5,0.0,0.08620689655172414,0,5,52,,57,57,0,0,False,0,0,False,False,1,False,0.0,0.6642991304397583,0.2257809340953827,0.8956101536750793,False,0.6889317631721497,-0.0683555155992508,0.8727702498435974,False,,False,80
move_near,move_near/condition_0000,0,5,True,58,0.29604844002514835,0.024632632732391357,-0.2941364496946335,-0.022839903831481934,0.2951660848307145,0,0,success,0,True,5,0.0,0.08620689655172414,0,6,52,,57,57,0,0,False,0,0,False,False,1,False,0.0,0.6642991304397583,0.2257809340953827,0.8956101536750793,False,0.6889317631721497,-0.0683555155992508,0.8727702498435974,False,,False,80
move_near,move_near/condition_0000,0,6,True,58,0.29604844002514835,0.024632632732391357,-0.2941364496946335,-0.022839903831481934,0.2951660848307145,0,0,success,0,True,5,0.0,0.08620689655172414,0,7,52,,57,57,0,0,False,0,0,False,False,1,False,0.0,0.6642991304397583,0.2257809340953827,0.8956101536750793,False,0.6889317631721497,-0.0683555155992508,0.8727702498435974,False,,False,80
move_near,move_near/condition_0000,0,7,True,58,0.29604844002514835,0.024632632732391357,-0.2941364496946335,-0.022839903831481934,0.2951660848307145,0,0,success,0,True,5,0.0,0.08620689655172414,0,8,52,,57,57,0,0,False,0,0,False,False,1,False,0.0,0.6642991304397583,0.2257809340953827,0.8956101536750793,False,0.6889317631721497,-0.0683555155992508,0.8727702498435974,False,,False,80
move_near,move_near/condition_0000,0,8,True,58,0.29604844002514835,0.024632632732391357,-0.2941364496946335,-0.022839903831481934,0.2951660848307145,0,0,success,0,True,5,0.0,0.08620689655172414,0,9,52,,57,57,0,0,False,0,0,False,False,1,False,0.0,0.6642991304397583,0.2257809340953827,0.8956101536750793,False,0.6889317631721497,-0.0683555155992508,0.8727702498435974,False,,False,80
move_near,move_near/condition_0000,0,9,True,58,0.29604844002514835,0.024632632732391357,-0.2941364496946335,-0.022839903831481934,0.2951660848307145,0,0,success,0,True,5,0.0,0.08620689655172414,0,10,52,,57,57,0,0,False,0,0,False,False,1,False,0.0,0.6642991304397583,0.2257809340953827,0.8956101536750793,False,0.6889317631721497,-0.0683555155992508,0.8727702498435974,False,,False,80
